invoice_id,date,customer_id,salesperson_id,segment,sku,qty,list_unit_price,discount_pct,unit_cost
CI201809000035,21/09/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.094,131.31
CI201704001989,19/04/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.099,151.11
CI201704002388,29/04/2017,C00046,SP004,independent_cafe,BEAN-DECAF-1KG,2,65,0.249,32.24
CI201809000036,28/09/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,10,230,0.14,131.31
CI201704003038,21/04/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,8,240,0,151.11
CI201810000037,5/10/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.063,131.64
CI201704002387,22/04/2017,C00046,SP004,independent_cafe,BEAN-ESPRESSO-5KG,6,240,0.32,151.11
CI201810000038,12/10/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.064,131.64
CI201704000730,26/04/2017,C00014,SP003,restaurant,BEAN-ESPRESSO-5KG,6,240,0.101,151.11
CI201810000038,12/10/2018,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.14,200.09
CI201810000039,19/10/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.14,131.64
CI201704001990,26/04/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.117,151.11
CI201810000039,19/10/2018,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,4,260,0,205.35
CI201810000040,26/10/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.119,131.64
CI201704003039,28/04/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.14,151.11
CI201704002388,29/04/2017,C00046,SP004,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0,151.11
CI201811000041,2/11/2018,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,4,260,0.086,200.58
CI201811000041,2/11/2018,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,2,260,0,205.86
CI201811000042,9/11/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0.104,131.96
CI201705001991,3/05/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.125,151.49
CI201811000042,9/11/2018,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.14,200.58
CI201811000043,16/11/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.11,131.96
CI201705003040,5/05/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.111,151.49
CI201811000043,16/11/2018,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.115,200.58
CI201811000043,16/11/2018,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,2,260,0.14,205.86
CI201705002389,6/05/2017,C00046,SP004,independent_cafe,BEAN-DECAF-1KG,2,65,0.238,32.32
CI201811000044,23/11/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0,131.96
CI201705002389,6/05/2017,C00046,SP004,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.319,151.49
CI201811000045,30/11/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0.12,131.96
CI201705001992,10/05/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0.135,151.49
CI201812000046,7/12/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0.119,132.29
CI201705003041,12/05/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0.108,151.49
CI201812000046,7/12/2018,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0,201.08
CI201812000047,14/12/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.099,132.29
CI201705002390,13/05/2017,C00046,SP004,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.32,151.49
CI201705002392,27/05/2017,C00046,SP004,independent_cafe,BEAN-DECAF-1KG,2,65,0.32,32.32
CI201705002787,13/05/2017,C00053,SP003,restaurant,BEAN-ESPRESSO-5KG,4,240,0.118,151.49
CI201812000049,28/12/2018,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.14,132.29
CI201705001993,17/05/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,8,240,0.077,151.49
CI201901000050,4/01/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0.106,132.61
CI201705003042,19/05/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0.122,151.49
CI201901000051,11/01/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.073,132.61
CI201705002391,20/05/2017,C00046,SP004,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0.246,151.49
CI201901000051,11/01/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,2,260,0.099,206.88
CI201901000052,18/01/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.089,132.61
CI201705000731,24/05/2017,C00014,SP003,restaurant,BEAN-ESPRESSO-5KG,2,240,0.118,151.49
CI201901000052,18/01/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,2,260,0.103,206.88
CI201901000053,25/01/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0.103,132.61
CI201705001994,24/05/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.111,151.49
CI201901000053,25/01/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.096,201.57
CI201902000054,1/02/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0.112,132.94
CI201705003043,26/05/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,6,240,0.132,151.49
CI201902000055,8/02/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,6,230,0.129,132.94
CI201902000055,8/02/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.119,202.07
CI201706001996,7/06/2017,C00040,SP003,independent_cafe,BEAN-DECAF-1KG,2,65,0.096,32.4
CI201902000056,15/02/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,8,230,0,132.94
CI201705002392,27/05/2017,C00046,SP004,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.226,151.49
CI201902000056,15/02/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.096,202.07
CI201705001995,31/05/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,8,240,0.137,151.49
CI201902000057,22/02/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.123,202.07
CI201903000058,1/03/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0,133.27
CI201706003044,2/06/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0.085,151.86
CI201706002393,3/06/2017,C00046,SP004,independent_cafe,BEAN-ESPRESSO-5KG,6,240,0.32,151.86
CI201903000059,8/03/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.14,202.57
CI201903000060,15/03/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.092,133.27
CI201706001996,7/06/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0.105,151.86
CI201903000060,15/03/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.084,202.57
CI201903000061,22/03/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0,133.27
CI201706003045,9/06/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.121,151.86
CI201903000062,29/03/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.117,133.27
CI201706002394,10/06/2017,C00046,SP004,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0.276,151.86
CI201903000062,29/03/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,2,260,0.096,207.9
CI201904000063,5/04/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.129,133.6
CI201706001997,14/06/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,8,240,0.112,151.86
CI201904000063,5/04/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.11,203.07
CI201904000064,12/04/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,10,230,0.136,133.6
CI201706003046,16/06/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0,151.86
CI201904000065,19/04/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0.14,133.6
CI201706002395,17/06/2017,C00046,SP004,independent_cafe,BEAN-ESPRESSO-5KG,6,240,0.229,151.86
CI201904000066,26/04/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,8,230,0.139,133.6
CI201905000067,3/05/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0.121,133.93
CI201706000732,21/06/2017,C00014,SP003,restaurant,BEAN-ESPRESSO-5KG,2,240,0.104,151.86
CI201905000067,3/05/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0,203.57
CI201905000068,10/05/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0.119,133.93
CI201706001998,21/06/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,6,240,0.102,151.86
CI201905000068,10/05/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.066,203.57
CI201706001711,23/06/2017,C00036,SP002,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0.091,151.86
CI201905000069,17/05/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.132,203.57
CI201905000070,24/05/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,6,230,0,133.93
CI201706003047,23/06/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.114,151.86
CI201905000070,24/05/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,2,260,0.081,208.92
CI201905000071,31/05/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.102,133.93
CI201706001712,30/06/2017,C00036,SP002,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0,151.86
CI201905000071,31/05/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,2,260,0.088,208.92
CI201706003048,30/06/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.114,151.86
CI201906000073,14/06/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.121,134.26
CI201707002397,1/07/2017,C00046,SP004,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0.293,152.23
CI201906000074,21/06/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0.087,134.26
CI201707002000,5/07/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0.084,152.23
CI201906000075,28/06/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,8,230,0.14,134.26
CI201707000212,6/07/2017,C00007,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.125,152.23
CI201906000075,28/06/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,2,260,0.115,209.44
CI201907000076,5/07/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,10,230,0.135,134.59
CI201707001713,7/07/2017,C00036,SP002,independent_cafe,BEAN-ESPRESSO-5KG,6,240,0.065,152.23
CI201706003045,9/06/2017,C00058,SP003,independent_cafe,BEAN-DECAF-1KG,4,65,0.135,32.4
CI201907000077,12/07/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0.104,134.59
CI201707003049,7/07/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0,152.23
CI201907000077,12/07/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.111,204.57
CI201907000078,19/07/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0.121,134.59
CI201707002220,8/07/2017,C00044,SP004,independent_cafe,BEAN-ESPRESSO-5KG,8,240,0.275,152.23
CI201907000078,19/07/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.14,204.57
CI201907000078,19/07/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,2,260,0.131,209.96
CI201907000079,26/07/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,6,230,0.062,134.59
CI201707002398,8/07/2017,C00046,SP004,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0.236,152.23
CI201907000079,26/07/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.127,204.57
CI201907000079,26/07/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,2,260,0.073,209.96
CI201706003046,16/06/2017,C00058,SP003,independent_cafe,BEAN-DECAF-1KG,2,65,0.093,32.4
CI201908000080,2/08/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0,134.92
CI201707002789,8/07/2017,C00053,SP003,restaurant,BEAN-ESPRESSO-5KG,4,240,0.093,152.23
CI201908000080,2/08/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.103,205.08
CI201908000081,9/08/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0,134.92
CI201707002001,12/07/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,8,240,0.09,152.23
CI201908000081,9/08/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.091,205.08
CI201908000082,16/08/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.116,134.92
CI201707002841,12/07/2017,C00055,SP002,restaurant,BEAN-ESPRESSO-5KG,2,240,0.046,152.23
CI201908000082,16/08/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.093,205.08
CI201908000083,23/08/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.07,134.92
CI201707000213,13/07/2017,C00007,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.084,152.23
CI201908000083,23/08/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.093,205.08
CI201908000084,30/08/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,8,230,0.067,134.92
CI201908000084,30/08/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.107,205.08
CI201707003050,14/07/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,8,240,0.129,152.23
CI201909000085,6/09/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,4,260,0,210.99
CI201706001999,28/06/2017,C00040,SP003,independent_cafe,BEAN-DECAF-1KG,4,65,0.14,32.4
CI201707002221,15/07/2017,C00044,SP004,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0,152.23
CI201909000086,13/09/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,2,260,0.14,210.99
CI201909000087,20/09/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,8,230,0.138,135.25
CI201707002399,15/07/2017,C00046,SP004,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.267,152.23
CI201909000088,27/09/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,8,230,0.109,135.25
CI201707000733,19/07/2017,C00014,SP003,restaurant,BEAN-ESPRESSO-5KG,4,240,0.112,152.23
CI201909000088,27/09/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,2,260,0.129,210.99
CI201910000089,4/10/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,10,230,0,135.59
CI201707002002,19/07/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,6,240,0,152.23
CI201910000090,11/10/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,6,230,0,135.59
CI201707000214,20/07/2017,C00007,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.14,152.23
CI201910000090,11/10/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-ETH-5KG,2,260,0.111,206.09
CI201910000090,11/10/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,2,260,0.116,211.51
CI201910000091,18/10/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,6,230,0.078,135.59
CI201707001715,21/07/2017,C00036,SP002,independent_cafe,BEAN-ESPRESSO-5KG,6,240,0.077,152.23
CI201910000091,18/10/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,2,260,0.074,211.51
CI201707002841,12/07/2017,C00055,SP002,restaurant,BEAN-DECAF-1KG,2,65,0,32.48
CI201910000092,25/10/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.097,135.59
CI201707003051,21/07/2017,C00058,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.131,152.23
CI201707001304,27/07/2017,C00031,SP003,hotel,BEAN-DECAF-1KG,2,65,0,32.48
CI201911000093,1/11/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0.137,135.92
CI201707002222,22/07/2017,C00044,SP004,independent_cafe,BEAN-ESPRESSO-5KG,2,240,0.225,152.23
CI201707002400,22/07/2017,C00046,SP004,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.32,152.23
CI201911000094,8/11/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,2,260,0,212.03
CI201911000095,15/11/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0,135.92
CI201911000096,22/11/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,4,230,0.113,135.92
CI201707002401,29/07/2017,C00046,SP004,independent_cafe,BEAN-DECAF-1KG,2,65,0.283,32.48
CI201707001579,25/07/2017,C00034,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0,152.23
CI201912000098,6/12/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.125,136.25
CI201707002003,26/07/2017,C00040,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.13,152.23
CI201912000098,6/12/2019,C00003,SP003,independent_cafe,BEAN-SINGLE-COL-5KG,2,260,0.111,212.56
CI201912000099,13/12/2019,C00003,SP003,independent_cafe,BEAN-HOUSE-5KG,2,230,0.089,136.25
CI201707000215,27/07/2017,C00007,SP003,independent_cafe,BEAN-ESPRESSO-5KG,4,240,0.14,152.23
