date,cafe_location,sku,qty_sold,list_unit_price,unit_cost
5/01/2017,warehouse,FOOD-CROISSANT,37,6,4.08
5/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,23,5.5,3.88
5/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,8,9.5,5.88
5/01/2017,warehouse,FOOD-SCONE-CHEESE,23,5,3.68
5/01/2017,warehouse,FOOD-BANANA-BREAD,12,6,4.38
5/01/2017,warehouse,FOOD-COOKIE-CHOC,8,4.5,3.48
5/01/2017,warehouse,MOD-ALT-MILK,33,0.8,2.38
6/01/2017,warehouse,DRINK-FLATWHITE,55,5.5,4.03
6/01/2017,warehouse,DRINK-LATTE,47,5.5,4.03
6/01/2017,warehouse,DRINK-CAP,27,5.5,4.03
6/01/2017,warehouse,DRINK-LONGBLACK,33,5,3.83
6/01/2017,warehouse,DRINK-ESP,18,4.5,3.73
6/01/2017,warehouse,DRINK-MOCHA,8,6,4.43
6/01/2017,warehouse,DRINK-CHAI-LATTE,12,6,4.33
6/01/2017,warehouse,DRINK-HOT-CHOC,2,6,4.53
6/01/2017,warehouse,DRINK-ICED-LATTE,14,6.5,4.63
6/01/2017,warehouse,FOOD-CROISSANT,16,6,5.03
6/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,16,5.5,4.83
6/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,16,9.5,6.83
6/01/2017,warehouse,FOOD-SCONE-CHEESE,16,5,4.63
6/01/2017,warehouse,FOOD-BANANA-BREAD,4,6,5.33
6/01/2017,warehouse,FOOD-COOKIE-CHOC,4,4.5,4.43
6/01/2017,warehouse,MOD-ALT-MILK,25,0.8,3.33
7/01/2017,warehouse,DRINK-FLATWHITE,45,5.5,5.15
7/01/2017,warehouse,DRINK-LATTE,47,5.5,5.15
7/01/2017,warehouse,DRINK-CAP,8,5.5,5.15
7/01/2017,warehouse,DRINK-LONGBLACK,23,5,4.95
7/01/2017,warehouse,DRINK-ESP,18,4.5,4.85
7/01/2017,warehouse,DRINK-MOCHA,2,6,5.55
7/01/2017,warehouse,DRINK-CHAI-LATTE,4,6,5.45
7/01/2017,warehouse,DRINK-ICED-LATTE,6,6.5,5.75
7/01/2017,warehouse,FOOD-CROISSANT,12,6,6.15
7/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,12,5.5,5.95
7/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,10,9.5,7.95
7/01/2017,warehouse,FOOD-SCONE-CHEESE,8,5,5.75
7/01/2017,warehouse,FOOD-BANANA-BREAD,6,6,6.45
7/01/2017,warehouse,FOOD-COOKIE-CHOC,6,4.5,5.55
7/01/2017,warehouse,MOD-ALT-MILK,18,0.8,4.45
8/01/2017,warehouse,DRINK-FLATWHITE,53,5.5,4.69
8/01/2017,warehouse,DRINK-LATTE,37,5.5,4.69
8/01/2017,warehouse,DRINK-CAP,23,5.5,4.69
8/01/2017,warehouse,DRINK-LONGBLACK,25,5,4.49
8/01/2017,warehouse,DRINK-ESP,4,4.5,4.39
8/01/2017,warehouse,DRINK-MOCHA,10,6,5.09
8/01/2017,warehouse,DRINK-CHAI-LATTE,10,6,4.99
8/01/2017,warehouse,DRINK-HOT-CHOC,2,6,5.19
8/01/2017,warehouse,DRINK-ICED-LATTE,8,6.5,5.29
8/01/2017,warehouse,FOOD-CROISSANT,12,6,5.69
8/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,18,5.5,5.49
8/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,14,9.5,7.49
8/01/2017,warehouse,FOOD-SCONE-CHEESE,8,5,5.29
8/01/2017,warehouse,FOOD-BANANA-BREAD,2,6,5.99
8/01/2017,warehouse,FOOD-COOKIE-CHOC,2,4.5,5.09
8/01/2017,warehouse,MOD-ALT-MILK,25,0.8,3.99
9/01/2017,warehouse,DRINK-FLATWHITE,64,5.5,3.34
9/01/2017,warehouse,DRINK-LATTE,88,5.5,3.34
9/01/2017,warehouse,DRINK-CAP,33,5.5,3.34
9/01/2017,warehouse,DRINK-LONGBLACK,27,5,3.14
9/01/2017,warehouse,DRINK-ESP,41,4.5,3.04
9/01/2017,warehouse,DRINK-MOCHA,14,6,3.74
9/01/2017,warehouse,DRINK-CHAI-LATTE,12,6,3.64
9/01/2017,warehouse,DRINK-HOT-CHOC,4,6,3.84
9/01/2017,warehouse,DRINK-ICED-LATTE,10,6.5,3.94
9/01/2017,warehouse,FOOD-CROISSANT,10,6,4.34
9/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,18,5.5,4.14
9/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,16,9.5,6.14
9/01/2017,warehouse,FOOD-SCONE-CHEESE,16,5,3.94
9/01/2017,warehouse,FOOD-BANANA-BREAD,16,6,4.64
9/01/2017,warehouse,FOOD-COOKIE-CHOC,16,4.5,3.74
9/01/2017,warehouse,MOD-ALT-MILK,29,0.8,2.64
10/01/2017,warehouse,DRINK-FLATWHITE,61,5.5,3.13
10/01/2017,warehouse,DRINK-LATTE,105,5.5,3.13
10/01/2017,warehouse,DRINK-CAP,49,5.5,3.13
10/01/2017,warehouse,DRINK-LONGBLACK,47,5,2.93
10/01/2017,warehouse,DRINK-ESP,29,4.5,2.83
10/01/2017,warehouse,DRINK-MOCHA,16,6,3.53
10/01/2017,warehouse,DRINK-CHAI-LATTE,16,6,3.43
10/01/2017,warehouse,DRINK-HOT-CHOC,4,6,3.63
10/01/2017,warehouse,DRINK-ICED-LATTE,12,6.5,3.73
10/01/2017,warehouse,FOOD-CROISSANT,31,6,4.13
10/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,10,5.5,3.93
10/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,16,9.5,5.93
10/01/2017,warehouse,FOOD-SCONE-CHEESE,18,5,3.73
10/01/2017,warehouse,FOOD-BANANA-BREAD,18,6,4.43
10/01/2017,warehouse,MOD-ALT-MILK,27,0.8,2.43
11/01/2017,warehouse,DRINK-FLATWHITE,66,5.5,3.37
11/01/2017,warehouse,DRINK-LATTE,82,5.5,3.37
11/01/2017,warehouse,DRINK-CAP,35,5.5,3.37
11/01/2017,warehouse,DRINK-LONGBLACK,59,5,3.17
11/01/2017,warehouse,DRINK-ESP,39,4.5,3.07
11/01/2017,warehouse,DRINK-MOCHA,16,6,3.77
11/01/2017,warehouse,DRINK-CHAI-LATTE,16,6,3.67
11/01/2017,warehouse,DRINK-HOT-CHOC,10,6,3.87
11/01/2017,warehouse,DRINK-ICED-LATTE,8,6.5,3.97
11/01/2017,warehouse,FOOD-CROISSANT,12,6,4.37
11/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,8,5.5,4.17
11/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,8,9.5,6.17
11/01/2017,warehouse,FOOD-SCONE-CHEESE,14,5,3.97
11/01/2017,warehouse,FOOD-BANANA-BREAD,2,6,4.67
11/01/2017,warehouse,FOOD-COOKIE-CHOC,6,4.5,3.77
11/01/2017,warehouse,MOD-ALT-MILK,27,0.8,2.67
12/01/2017,warehouse,DRINK-FLATWHITE,55,5.5,4.02
12/01/2017,warehouse,DRINK-LATTE,41,5.5,4.02
12/01/2017,warehouse,DRINK-CAP,37,5.5,4.02
12/01/2017,warehouse,DRINK-LONGBLACK,41,5,3.82
12/01/2017,warehouse,DRINK-ESP,25,4.5,3.72
12/01/2017,warehouse,DRINK-MOCHA,4,6,4.42
12/01/2017,warehouse,DRINK-CHAI-LATTE,8,6,4.32
12/01/2017,warehouse,DRINK-ICED-LATTE,16,6.5,4.62
12/01/2017,warehouse,FOOD-CROISSANT,23,6,5.02
12/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,14,5.5,4.82
12/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,4,9.5,6.82
12/01/2017,warehouse,FOOD-SCONE-CHEESE,6,5,4.62
12/01/2017,warehouse,FOOD-COOKIE-CHOC,12,4.5,4.42
12/01/2017,warehouse,MOD-ALT-MILK,27,0.8,3.32
13/01/2017,warehouse,DRINK-FLATWHITE,84,5.5,3.2
13/01/2017,warehouse,DRINK-LATTE,68,5.5,3.2
13/01/2017,warehouse,DRINK-CAP,25,5.5,3.2
13/01/2017,warehouse,DRINK-LONGBLACK,39,5,3
13/01/2017,warehouse,DRINK-ESP,37,4.5,2.9
13/01/2017,warehouse,DRINK-MOCHA,10,6,3.6
13/01/2017,warehouse,DRINK-CHAI-LATTE,16,6,3.5
13/01/2017,warehouse,DRINK-HOT-CHOC,6,6,3.7
13/01/2017,warehouse,DRINK-ICED-LATTE,10,6.5,3.8
13/01/2017,warehouse,FOOD-CROISSANT,23,6,4.21
13/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,29,5.5,4.01
13/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,10,9.5,6.01
13/01/2017,warehouse,FOOD-SCONE-CHEESE,20,5,3.8
13/01/2017,warehouse,FOOD-BANANA-BREAD,10,6,4.51
13/01/2017,warehouse,FOOD-COOKIE-CHOC,21,4.5,3.6
13/01/2017,warehouse,MOD-ALT-MILK,31,0.8,2.5
14/01/2017,warehouse,DRINK-FLATWHITE,45,5.5,5.23
14/01/2017,warehouse,DRINK-LATTE,45,5.5,5.23
14/01/2017,warehouse,DRINK-CAP,20,5.5,5.23
14/01/2017,warehouse,DRINK-LONGBLACK,20,5,5.03
14/01/2017,warehouse,DRINK-ESP,16,4.5,4.93
14/01/2017,warehouse,DRINK-MOCHA,12,6,5.63
14/01/2017,warehouse,DRINK-CHAI-LATTE,2,6,5.53
14/01/2017,warehouse,DRINK-HOT-CHOC,6,6,5.73
14/01/2017,warehouse,DRINK-ICED-LATTE,8,6.5,5.83
14/01/2017,warehouse,FOOD-CROISSANT,8,6,6.23
14/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,6,5.5,6.03
14/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,6,9.5,8.03
14/01/2017,warehouse,FOOD-SCONE-CHEESE,6,5,5.83
14/01/2017,warehouse,FOOD-BANANA-BREAD,2,6,6.53
14/01/2017,warehouse,MOD-ALT-MILK,20,0.8,4.53
15/01/2017,warehouse,DRINK-FLATWHITE,35,5.5,4.52
15/01/2017,warehouse,DRINK-LATTE,53,5.5,4.52
15/01/2017,warehouse,DRINK-CAP,23,5.5,4.52
15/01/2017,warehouse,DRINK-LONGBLACK,27,5,4.32
15/01/2017,warehouse,DRINK-ESP,23,4.5,4.22
15/01/2017,warehouse,DRINK-MOCHA,6,6,4.92
15/01/2017,warehouse,DRINK-CHAI-LATTE,6,6,4.82
15/01/2017,warehouse,DRINK-HOT-CHOC,2,6,5.02
15/01/2017,warehouse,DRINK-ICED-LATTE,6,6.5,5.12
15/01/2017,warehouse,FOOD-CROISSANT,6,6,5.52
15/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,12,5.5,5.32
15/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,14,9.5,7.32
15/01/2017,warehouse,FOOD-SCONE-CHEESE,8,5,5.12
15/01/2017,warehouse,FOOD-BANANA-BREAD,8,6,5.82
15/01/2017,warehouse,FOOD-COOKIE-CHOC,12,4.5,4.92
15/01/2017,warehouse,MOD-ALT-MILK,25,0.8,3.82
16/01/2017,warehouse,DRINK-FLATWHITE,64,5.5,3.84
16/01/2017,warehouse,DRINK-LATTE,57,5.5,3.84
16/01/2017,warehouse,DRINK-CAP,29,5.5,3.84
16/01/2017,warehouse,DRINK-LONGBLACK,33,5,3.64
16/01/2017,warehouse,DRINK-ESP,23,4.5,3.54
16/01/2017,warehouse,DRINK-MOCHA,6,6,4.24
16/01/2017,warehouse,DRINK-CHAI-LATTE,14,6,4.14
16/01/2017,warehouse,DRINK-HOT-CHOC,10,6,4.34
16/01/2017,warehouse,DRINK-ICED-LATTE,12,6.5,4.44
16/01/2017,warehouse,FOOD-CROISSANT,18,6,4.84
16/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,10,5.5,4.64
16/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,8,9.5,6.64
16/01/2017,warehouse,FOOD-SCONE-CHEESE,8,5,4.44
16/01/2017,warehouse,FOOD-BANANA-BREAD,10,6,5.14
16/01/2017,warehouse,FOOD-COOKIE-CHOC,16,4.5,4.24
16/01/2017,warehouse,MOD-ALT-MILK,18,0.8,3.14
17/01/2017,warehouse,DRINK-FLATWHITE,33,5.5,3.85
17/01/2017,warehouse,DRINK-LATTE,59,5.5,3.85
17/01/2017,warehouse,DRINK-CAP,31,5.5,3.85
17/01/2017,warehouse,DRINK-LONGBLACK,29,5,3.65
17/01/2017,warehouse,DRINK-ESP,29,4.5,3.55
17/01/2017,warehouse,DRINK-MOCHA,10,6,4.25
17/01/2017,warehouse,DRINK-CHAI-LATTE,10,6,4.15
17/01/2017,warehouse,DRINK-HOT-CHOC,4,6,4.35
17/01/2017,warehouse,DRINK-ICED-LATTE,18,6.5,4.46
17/01/2017,warehouse,FOOD-CROISSANT,37,6,4.86
17/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,18,5.5,4.66
17/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,8,9.5,6.66
17/01/2017,warehouse,FOOD-SCONE-CHEESE,6,5,4.46
17/01/2017,warehouse,FOOD-BANANA-BREAD,8,6,5.16
17/01/2017,warehouse,FOOD-COOKIE-CHOC,8,4.5,4.25
17/01/2017,warehouse,MOD-ALT-MILK,25,0.8,3.15
18/01/2017,warehouse,DRINK-FLATWHITE,96,5.5,3.05
18/01/2017,warehouse,DRINK-LATTE,82,5.5,3.05
18/01/2017,warehouse,DRINK-CAP,43,5.5,3.05
18/01/2017,warehouse,DRINK-LONGBLACK,41,5,2.85
18/01/2017,warehouse,DRINK-ESP,45,4.5,2.75
18/01/2017,warehouse,DRINK-MOCHA,23,6,3.45
18/01/2017,warehouse,DRINK-CHAI-LATTE,14,6,3.35
18/01/2017,warehouse,DRINK-HOT-CHOC,2,6,3.55
18/01/2017,warehouse,DRINK-ICED-LATTE,10,6.5,3.65
18/01/2017,warehouse,FOOD-CROISSANT,20,6,4.05
18/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,20,5.5,3.85
18/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,20,9.5,5.85
18/01/2017,warehouse,FOOD-SCONE-CHEESE,12,5,3.65
18/01/2017,warehouse,FOOD-BANANA-BREAD,4,6,4.35
18/01/2017,warehouse,FOOD-COOKIE-CHOC,20,4.5,3.45
18/01/2017,warehouse,MOD-ALT-MILK,27,0.8,2.35
19/01/2017,warehouse,DRINK-FLATWHITE,76,5.5,3.36
19/01/2017,warehouse,DRINK-LATTE,76,5.5,3.36
19/01/2017,warehouse,DRINK-CAP,41,5.5,3.36
19/01/2017,warehouse,DRINK-LONGBLACK,37,5,3.16
19/01/2017,warehouse,DRINK-ESP,29,4.5,3.06
19/01/2017,warehouse,DRINK-MOCHA,12,6,3.76
19/01/2017,warehouse,DRINK-CHAI-LATTE,12,6,3.66
19/01/2017,warehouse,DRINK-HOT-CHOC,6,6,3.86
19/01/2017,warehouse,DRINK-ICED-LATTE,16,6.5,3.96
19/01/2017,warehouse,FOOD-CROISSANT,23,6,4.36
19/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,10,5.5,4.16
19/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,12,9.5,6.16
19/01/2017,warehouse,FOOD-SCONE-CHEESE,12,5,3.96
19/01/2017,warehouse,FOOD-BANANA-BREAD,6,6,4.66
19/01/2017,warehouse,FOOD-COOKIE-CHOC,8,4.5,3.76
19/01/2017,warehouse,MOD-ALT-MILK,33,0.8,2.66
20/01/2017,warehouse,DRINK-FLATWHITE,82,5.5,3.17
20/01/2017,warehouse,DRINK-LATTE,82,5.5,3.17
20/01/2017,warehouse,DRINK-CAP,39,5.5,3.17
20/01/2017,warehouse,DRINK-LONGBLACK,45,5,2.97
20/01/2017,warehouse,DRINK-ESP,33,4.5,2.87
20/01/2017,warehouse,DRINK-MOCHA,18,6,3.57
20/01/2017,warehouse,DRINK-CHAI-LATTE,8,6,3.47
20/01/2017,warehouse,DRINK-HOT-CHOC,6,6,3.67
20/01/2017,warehouse,DRINK-ICED-LATTE,12,6.5,3.77
20/01/2017,warehouse,FOOD-CROISSANT,16,6,4.17
20/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,10,5.5,3.97
20/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,31,9.5,5.98
20/01/2017,warehouse,FOOD-SCONE-CHEESE,12,5,3.77
20/01/2017,warehouse,FOOD-BANANA-BREAD,12,6,4.47
20/01/2017,warehouse,FOOD-COOKIE-CHOC,14,4.5,3.57
20/01/2017,warehouse,MOD-ALT-MILK,29,0.8,2.47
21/01/2017,warehouse,DRINK-FLATWHITE,37,5.5,4.96
21/01/2017,warehouse,DRINK-LATTE,59,5.5,4.96
21/01/2017,warehouse,DRINK-CAP,12,5.5,4.96
21/01/2017,warehouse,DRINK-LONGBLACK,21,5,4.76
21/01/2017,warehouse,DRINK-ESP,6,4.5,4.66
21/01/2017,warehouse,DRINK-MOCHA,10,6,5.36
21/01/2017,warehouse,DRINK-CHAI-LATTE,6,6,5.26
21/01/2017,warehouse,DRINK-ICED-LATTE,6,6.5,5.56
21/01/2017,warehouse,FOOD-CROISSANT,21,6,5.96
21/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,4,5.5,5.76
21/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,16,9.5,7.77
21/01/2017,warehouse,FOOD-SCONE-CHEESE,4,5,5.56
21/01/2017,warehouse,FOOD-BANANA-BREAD,10,6,6.26
21/01/2017,warehouse,FOOD-COOKIE-CHOC,6,4.5,5.36
21/01/2017,warehouse,MOD-ALT-MILK,18,0.8,4.26
22/01/2017,warehouse,DRINK-FLATWHITE,86,5.5,3.5
22/01/2017,warehouse,DRINK-LATTE,76,5.5,3.5
22/01/2017,warehouse,DRINK-CAP,21,5.5,3.5
22/01/2017,warehouse,DRINK-LONGBLACK,33,5,3.3
22/01/2017,warehouse,DRINK-ESP,20,4.5,3.2
22/01/2017,warehouse,DRINK-MOCHA,16,6,3.91
22/01/2017,warehouse,DRINK-CHAI-LATTE,8,6,3.8
22/01/2017,warehouse,DRINK-HOT-CHOC,8,6,4.01
22/01/2017,warehouse,DRINK-ICED-LATTE,12,6.5,4.11
22/01/2017,warehouse,FOOD-CROISSANT,21,6,4.51
22/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,8,5.5,4.31
22/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,12,9.5,6.31
22/01/2017,warehouse,FOOD-SCONE-CHEESE,8,5,4.11
22/01/2017,warehouse,FOOD-BANANA-BREAD,10,6,4.81
22/01/2017,warehouse,FOOD-COOKIE-CHOC,14,4.5,3.91
22/01/2017,warehouse,MOD-ALT-MILK,31,0.8,2.8
23/01/2017,warehouse,DRINK-FLATWHITE,94,5.5,3.1
23/01/2017,warehouse,DRINK-LATTE,84,5.5,3.1
23/01/2017,warehouse,DRINK-CAP,33,5.5,3.1
23/01/2017,warehouse,DRINK-LONGBLACK,47,5,2.9
23/01/2017,warehouse,DRINK-ESP,41,4.5,2.8
23/01/2017,warehouse,DRINK-MOCHA,12,6,3.5
23/01/2017,warehouse,DRINK-CHAI-LATTE,4,6,3.4
23/01/2017,warehouse,DRINK-HOT-CHOC,10,6,3.6
23/01/2017,warehouse,DRINK-ICED-LATTE,14,6.5,3.7
23/01/2017,warehouse,FOOD-CROISSANT,27,6,4.1
23/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,8,5.5,3.9
23/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,21,9.5,5.9
23/01/2017,warehouse,FOOD-SCONE-CHEESE,23,5,3.7
23/01/2017,warehouse,FOOD-BANANA-BREAD,6,6,4.4
23/01/2017,warehouse,FOOD-COOKIE-CHOC,6,4.5,3.5
23/01/2017,warehouse,MOD-ALT-MILK,35,0.8,2.4
24/01/2017,warehouse,DRINK-FLATWHITE,98,5.5,3.11
24/01/2017,warehouse,DRINK-LATTE,76,5.5,3.11
24/01/2017,warehouse,DRINK-CAP,31,5.5,3.11
24/01/2017,warehouse,DRINK-LONGBLACK,45,5,2.91
24/01/2017,warehouse,DRINK-ESP,29,4.5,2.81
24/01/2017,warehouse,DRINK-MOCHA,16,6,3.52
24/01/2017,warehouse,DRINK-CHAI-LATTE,12,6,3.42
24/01/2017,warehouse,DRINK-HOT-CHOC,6,6,3.62
24/01/2017,warehouse,DRINK-ICED-LATTE,21,6.5,3.72
24/01/2017,warehouse,FOOD-CROISSANT,10,6,4.12
24/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,29,5.5,3.92
24/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,10,9.5,5.92
24/01/2017,warehouse,FOOD-SCONE-CHEESE,20,5,3.72
24/01/2017,warehouse,FOOD-BANANA-BREAD,8,6,4.42
24/01/2017,warehouse,FOOD-COOKIE-CHOC,14,4.5,3.52
24/01/2017,warehouse,MOD-ALT-MILK,37,0.8,2.41
25/01/2017,warehouse,DRINK-FLATWHITE,80,5.5,3.03
25/01/2017,warehouse,DRINK-LATTE,76,5.5,3.03
25/01/2017,warehouse,DRINK-CAP,53,5.5,3.03
25/01/2017,warehouse,DRINK-LONGBLACK,49,5,2.83
25/01/2017,warehouse,DRINK-ESP,49,4.5,2.73
25/01/2017,warehouse,DRINK-MOCHA,10,6,3.43
25/01/2017,warehouse,DRINK-CHAI-LATTE,12,6,3.33
25/01/2017,warehouse,DRINK-HOT-CHOC,6,6,3.53
25/01/2017,warehouse,DRINK-ICED-LATTE,21,6.5,3.63
25/01/2017,warehouse,FOOD-CROISSANT,25,6,4.03
25/01/2017,warehouse,FOOD-MUFFIN-BLUEBERRY,16,5.5,3.83
25/01/2017,warehouse,FOOD-SANDWICH-CHICKEN,23,9.5,5.84
25/01/2017,warehouse,FOOD-SCONE-CHEESE,16,5,3.63
25/01/2017,warehouse,FOOD-BANANA-BREAD,16,6,4.33
25/01/2017,warehouse,FOOD-COOKIE-CHOC,4,4.5,3.43
25/01/2017,warehouse,MOD-ALT-MILK,27,0.8,2.33
26/01/2017,warehouse,DRINK-FLATWHITE,66,5.5,3.47
26/01/2017,warehouse,DRINK-LATTE,74,5.5,3.47
26/01/2017,warehouse,DRINK-CAP,33,5.5,3.47
26/01/2017,warehouse,DRINK-LONGBLACK,45,5,3.27
26/01/2017,warehouse,DRINK-ESP,27,4.5,3.17
26/01/2017,warehouse,DRINK-MOCHA,18,6,3.87
26/01/2017,warehouse,DRINK-CHAI-LATTE,16,6,3.77
26/01/2017,warehouse,DRINK-HOT-CHOC,6,6,3.97
